name,org_name,description,address,city,state,zipcode,latitude,longitude,min_age,max_age,category_id,category name,category description,,,,,,,,,,,,,,,,,
Lunar Eclipse Viewing Party,Adler Planetarium,"At 12:58 am on the morning of Tuesday, April 15, the Moon will slip into the Earth's shadow and dazzle residents of the Midwest. Come celebrate this cosmic alignment at our Lunar Eclipse Viewing Party on Tuesday, April 15, from 12:01-4 am with special lectures, programs, and more! This free family event includes:
-Telescope viewing from the Adler Planetarium lawn
-Special lectures by Adler astronomers & educators, and access to the Space Visualization Laboratory
-Back to the Moon for Good* theater show
-Eclipse and Moon-related educational programs
-Light refreshments
Parking is available in the lot adjacent to the planetarium and costs $13 per car. Metered street parking is also available. 
Bus access to Museum Campus will be unavailable after 11:30 pm. 
Visit http://www.adlerplanetarium.org/events/lunar-eclipse-viewing-party for more information",1300 S. Lakeshore Dr.,Chicago,IL,60605,41.8582,-87.6139,2,24,1,Exploring Earth & Science,Investigating the world around us,,,,,,,,,,,,,,,,,
Random Hacks of Kindness Junior,Adler Planetarium,"On Sunday, April 27, teams of youth will come to the Adler Planetarium to work alongside charities and web developers to design tools that address their community's issues. Random Hacks of Kindness Junior takes the model of Random Hacks of Kindness to help middle schoolers learn more about the needs of their community! ",1300 S. Lakeshore Dr.,Chicago,IL,60605,41.8582,-87.6139,2,24,6,Coding + Games,"Digital and web literacy; Creating websites, apps, video games, interactive stories, etc",,,,,,,,,,,,,,,,,
Random Hacks of Kindness Junior,Adler Planetarium,"On Sunday, April 27, teams of youth will come to the Adler Planetarium to work alongside charities and web developers to design tools that address their community's issues. Random Hacks of Kindness Junior takes the model of Random Hacks of Kindness to help middle schoolers learn more about the needs of their community! ",1300 S. Lakeshore Dr.,Chicago,IL,60605,41.8582,-87.6139,2,24,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
Summer Internships,Adler Planetarium,Summer internships place youth around various museum departments - from social media and astrojournalist teams to public programs and citizen science. ,1300 South Lake Shore Dr.,Chicago,IL,60605,41.8665,-87.6193,15,18,1,Exploring Earth & Science,Investigating the world around us,,,,,,,,,,,,,,,,,
Summer Internships,Adler Planetarium,Summer internships place youth around various museum departments - from social media and astrojournalist teams to public programs and citizen science. ,1300 South Lake Shore Dr.,Chicago,IL,60605,41.8665,-87.6193,15,18,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
Sun Salutations,Adler Planetarium,"Start your weekend off right on Saturday, May 3 at 8:30 am with an inspiring Vinyasa Flow yoga class from Yoga By Degrees in the Adler‰Ûªs Grainger Sky Theater. Connect to your breath and ponder your place in the Universe as we explore fundamental poses and concepts taught in an accessible style. Ground and energize yourself in classic postures like Mountain Pose and Half Moon Pose as you gaze up at the constellations on the planetarium dome. Discover the added balance and strength that immersion in the wonders of the sky brings!",1300 S. Lakeshore Dr.,Chicago,IL,60605,41.8665,-87.6193,10,24,1,Exploring Earth & Science,Investigating the world around us,,,,,,,,,,,,,,,,,
Sun Salutations,Adler Planetarium,"Start your weekend off right on Saturday, May 3 at 8:30 am with an inspiring Vinyasa Flow yoga class from Yoga By Degrees in the Adler‰Ûªs Grainger Sky Theater. Connect to your breath and ponder your place in the Universe as we explore fundamental poses and concepts taught in an accessible style. Ground and energize yourself in classic postures like Mountain Pose and Half Moon Pose as you gaze up at the constellations on the planetarium dome. Discover the added balance and strength that immersion in the wonders of the sky brings!",1300 S. Lakeshore Dr.,Chicago,IL,60605,41.8665,-87.6193,10,24,5,Sports + Wellness,"Playing sports, helping the environment, and other healthy activities",,,,,,,,,,,,,,,,,
Web-Making Workshops,Adler Planetarium,Participants create a website that highlights an important issue in their community.,1300 South Lake Shore Dr.,Chicago,IL,60605,41.8665,-87.6193,15,18,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
Web-Making Workshops,Adler Planetarium,Participants create a website that highlights an important issue in their community.,1300 South Lake Shore Dr.,Chicago,IL,60605,41.8665,-87.6193,15,18,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
 Early Childhood and School Age Internship,After School Matters,"Interns will work at one of 5 sites on the north and northwest sides- positions are available in Uptown, Rogers Park, Belmont Cragin, Lincoln Park, and Logan Square. Interns will be placed in a classroom serving children ages birth-age 12, depending on the intern's skills and classroom needs. Interns will help children develop literacy skills and encourage them to explore, problem-solve, and work with classmates. Interns will also assist with mealtimes and help children to learn healthy habits. Interns will be asked to take on increasing responsibility as they demonstrate their competence and comfort within their role. A limited number of internships will be available in administrative roles such as IT and accounting, where interns will understand and support the administrative processes of a large organization.",3516 W SCHOOL STREET,Chicago,IL,60618,41.941,-87.7135,16,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
 El Valor Corporation,After School Matters,"Are you looking for a challenging job this summer? Do you enjoy working with young children? El Valor may be the place for you this summer, join our team and learn about the in's and out's of the Early Childhood field.",2434 S KILDARE AVENUE,Chicago,IL,60623,41.8468,-87.7316,16,24,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
